[0.153s] Invoking command in '/home/ubuntu/robot_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /bin/cmake --build /home/ubuntu/robot_ws/build/my_bot -- -j4 -l4
[0.478s] Invoked command in '/home/ubuntu/robot_ws/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /bin/cmake --build /home/ubuntu/robot_ws/build/my_bot -- -j4 -l4
[0.674s] Invoking command in '/home/ubuntu/robot_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /bin/cmake --install /home/ubuntu/robot_ws/build/my_bot
[0.727s] -- Install configuration: ""
[0.730s] -- Execute custom install script
[0.735s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/config/empty.yaml
[0.736s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/config/mapper_params_online_async.yaml
[0.737s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/config/my_controllers.yaml
[0.738s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/config/nav2_params.yaml
[0.739s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/config/twist_mux.yaml
[0.742s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/description/inertial_macros.xacro
[0.743s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/description/lidar.xacro
[0.744s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/description/robot.urdf.xacro
[0.747s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/description/robot_core.xacro
[0.748s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/description/ros2_control.xacro
[0.756s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/launch/joystick.launch.py
[0.758s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/launch/launch_robot.launch.py
[0.759s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/launch/localization_launch.py
[0.761s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/launch/navigation_launch.py
[0.765s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/launch/online_async_launch.py
[0.765s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/launch/rplidar.launch.py
[0.766s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/launch/rsp.launch.py
[0.766s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/worlds/empty.world
[0.767s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/ament_index/resource_index/package_run_dependencies/my_bot
[0.768s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/ament_index/resource_index/parent_prefix_path/my_bot
[0.768s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/environment/ament_prefix_path.sh
[0.769s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/environment/ament_prefix_path.dsv
[0.770s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/environment/path.sh
[0.770s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/environment/path.dsv
[0.771s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/local_setup.bash
[0.772s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/local_setup.sh
[0.772s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/local_setup.zsh
[0.774s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/local_setup.dsv
[0.775s] -- Symlinking: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/package.dsv
[0.822s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/ament_index/resource_index/packages/my_bot
[0.824s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/cmake/my_botConfig.cmake
[0.825s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/cmake/my_botConfig-version.cmake
[0.827s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/package.xml
[0.833s] Invoked command in '/home/ubuntu/robot_ws/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /bin/cmake --install /home/ubuntu/robot_ws/build/my_bot
