[0.126s] Invoking command in '/home/ubuntu/robot_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /bin/cmake --build /home/ubuntu/robot_ws/build/my_bot -- -j4 -l4
[0.468s] Invoked command in '/home/ubuntu/robot_ws/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /bin/cmake --build /home/ubuntu/robot_ws/build/my_bot -- -j4 -l4
[0.653s] Invoking command in '/home/ubuntu/robot_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /bin/cmake --install /home/ubuntu/robot_ws/build/my_bot
[0.710s] -- Install configuration: ""
[0.712s] -- Execute custom install script
[0.718s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/config/empty.yaml
[0.719s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/config/mapper_params_online_async.yaml
[0.720s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/config/my_controllers.yaml
[0.721s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/config/nav2_params.yaml
[0.722s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/config/twist_mux.yaml
[0.725s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/description/inertial_macros.xacro
[0.726s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/description/lidar.xacro
[0.727s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/description/robot.urdf.xacro
[0.729s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/description/robot_core.xacro
[0.730s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/description/ros2_control.xacro
[0.741s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/launch/joystick.launch.py
[0.742s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/launch/launch_robot.launch.py
[0.743s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/launch/localization_launch.py
[0.744s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/launch/navigation_launch.py
[0.746s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/launch/online_async_launch.py
[0.752s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/launch/rplidar.launch.py
[0.754s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/launch/rsp.launch.py
[0.756s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/worlds/empty.world
[0.762s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/ament_index/resource_index/package_run_dependencies/my_bot
[0.765s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/ament_index/resource_index/parent_prefix_path/my_bot
[0.766s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/environment/ament_prefix_path.sh
[0.766s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/environment/ament_prefix_path.dsv
[0.767s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/environment/path.sh
[0.767s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/environment/path.dsv
[0.768s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/local_setup.bash
[0.768s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/local_setup.sh
[0.769s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/local_setup.zsh
[0.769s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/local_setup.dsv
[0.769s] -- Symlinking: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/package.dsv
[0.801s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/ament_index/resource_index/packages/my_bot
[0.803s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/cmake/my_botConfig.cmake
[0.804s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/cmake/my_botConfig-version.cmake
[0.806s] -- Up-to-date symlink: /home/ubuntu/robot_ws/install/my_bot/share/my_bot/package.xml
[0.813s] Invoked command in '/home/ubuntu/robot_ws/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /bin/cmake --install /home/ubuntu/robot_ws/build/my_bot
